meta_run_id,pair_id,agent_condition,seed,task_id,source_id,dataset_path,difficulty_index,difficulty_stratum,prompt_strictness_level,context_visibility_level,timeout_budget_level,start_ts,end_ts,total_time_sec,time_to_first_valid_plan_sec,iterations_count,d_efficiency,mean_power,predicted_gain,uncertainty_index,budget_used_ratio,invalid_assumptions_count,budget_violations_count,model_mismatch_flags,decision_reversal_count,output_completeness_score,format_compliance_score,impact_score,notes
meta_run_00016,PAIR_0017,Agent_Without,3017,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,high,task_plus_history,short,2026-08-14T13:58:17.390367+00:00,2026-08-14T13:58:38.337446+00:00,0.0103,0.01,4,0.5744849410143381,0.862699892753342,0.6979397640573526,0.1564895591870382,1.0,0,0,0,0,1.0,1.0,87.0626,real_data_meta_benchmark_run
meta_run_00017,PAIR_0024,Agent_Without,3024,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,high,task_plus_history,short,2026-08-14T13:58:17.392628+00:00,2026-08-14T13:58:38.635704+00:00,0.0369,0.0129,4,0.4800863246421694,0.6910660448039443,0.3203452985686776,0.28085702680599195,1.0,0,0,0,0,1.0,1.0,80.3423,real_data_meta_benchmark_run
meta_run_00018,PAIR_0024,Agent_With,3024,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,high,task_plus_history,short,2026-08-14T13:58:17.395264+00:00,2026-08-14T13:58:38.933783+00:00,0.1268,0.0444,3,0.45488987274803305,0.7601726492843388,0.42034529856867764,0.23085702680599193,1.0,0,0,0,0,1.0,1.0,83.0369,real_data_meta_benchmark_run
meta_run_00019,PAIR_0046,Agent_With,3046,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,medium,task_only,short,2026-08-14T13:58:17.398667+00:00,2026-08-14T13:58:39.210940+00:00,0.1273,0.0446,3,0.4518282606577591,0.7567535026871766,0.41350700537435303,0.23249683262493587,1.0,0,0,0,0,1.0,1.0,82.906,real_data_meta_benchmark_run
meta_run_00020,PAIR_0046,Agent_Without,3046,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,medium,task_only,short,2026-08-14T13:58:17.401278+00:00,2026-08-14T13:58:39.538194+00:00,0.0357,0.0125,4,0.47837675134358826,0.687957729715615,0.313507005374353,0.28249683262493586,1.0,0,0,0,0,1.0,1.0,80.226,real_data_meta_benchmark_run
meta_run_00021,PAIR_0060,Agent_Without,3060,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,medium,task_only,short,2026-08-14T13:58:17.403717+00:00,2026-08-14T13:58:39.871582+00:00,0.0112,0.01,4,0.5617327767752126,0.8395141395912956,0.6469311071008506,0.1804133994901297,1.0,0,0,0,0,1.0,1.0,86.0925,real_data_meta_benchmark_run
meta_run_00022,PAIR_0060,Agent_With,3060,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,medium,task_only,short,2026-08-14T13:58:17.405822+00:00,2026-08-14T13:58:40.206657+00:00,0.1152,0.0403,3,0.4518282606577591,0.9234655535504253,0.7469311071008506,0.13041339949012967,1.0,0,0,0,0,1.0,1.0,88.1757,real_data_meta_benchmark_run
meta_run_00023,PAIR_0002,Agent_With,3002,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,medium,task_only,long,2026-08-14T13:58:17.408318+00:00,2026-08-14T13:58:40.494848+00:00,0.1198,0.0419,3,0.4498231999108463,0.7682431736747766,0.43648634734955316,0.22693945659836406,1.0,0,0,0,0,1.0,1.0,83.2389,real_data_meta_benchmark_run
meta_run_00024,PAIR_0002,Agent_Without,3002,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,medium,task_only,long,2026-08-14T13:58:17.410731+00:00,2026-08-14T13:58:40.841635+00:00,0.0387,0.0135,4,0.48412158683738826,0.6984028851588877,0.3364863473495531,0.27693945659836405,1.0,0,0,0,0,1.0,1.0,80.6172,real_data_meta_benchmark_run
meta_run_00025,PAIR_0061,Agent_Without,3061,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,high,task_only,long,2026-08-14T13:58:17.414922+00:00,2026-08-14T13:58:41.136054+00:00,0.0115,0.01,4,0.564269442705625,0.8441262594647726,0.6570777708225,0.17601685477105394,1.0,0,0,0,0,1.0,1.0,86.2823,real_data_meta_benchmark_run
